Samle	aer	donorEnd	accetorStart	Samle	aer	donorEnd	accetorStart
BT-474	gb	ACACA	STAC2	KL-4	gb	BSG	NFIX
BT-474	gb	CNE1	I3	KL-4	gb	NOTCH1	NU214
BT-474	gb	DIDO1	TTI1	KL-4	gb	1R12A	"""SET10"""
BT-474	gb	GLB1	CMTM7	MCF-7	gb	ARFGEF2	SULF2
BT-474	gb	LAM1	MCF2L	MCF-7	gb	BCAS4	BCAS3
BT-474	gb	RAB22A	MYO9B	MCF-7	gb	RS6KB1	VM1
BT-474	gb	RS6KB1	SNF8	MCF-7	los	GCN1L1	MSI1
BT-474	gb	SKA2	MYO19	MCF-7	los	GDD1	TMEM49/VM1
BT-474	gb	STARD3	STARD3	MCF-7	los	SMARCA4	CARM1
BT-474	gb	VAB	IKZF3	SK-BR-3	los	ANKHD1	CDH1
BT-474	gb	ZMYND8	CE250	SK-BR-3	los	CCDC85C	SETD3
BT-474	los	AHCTF1	NAAA	SK-BR-3	los	CSE1L	KCNB1
BT-474	los	MED1	STXB4	SK-BR-3	los	CYTH1	EIF3H
BT-474	los	MED1	ACSF2	SK-BR-3	los	DHX35	ITCH
BT-474	los	MED13	BCAS3	SK-BR-3	los	NFS1	REX1
BT-474	los	I4K2B	RAD51C	SK-BR-3	los	RARA	KIA
BT-474	los	STX16	RAE1	SK-BR-3	los	SUMF1	LRRFI2
BT-474	los	THRA	AC090627/SKA1	SK-BR-3	los	TATDN1	GSDMB
BT-474	los	TOB1	SYNRG	SK-BR-3	los	WDR67	ZNF704
BT-474	los	TRC4A	MRL45				
BT-474	los	US32	MED1				
