library_name	gene_name1	gene_chromosome1	genomic_strand1	genomic_break_pos1	gene_name2	gene_chromosome2	genomic_strand2	genomic_break_pos2	splitr_count	span_count	validated	fish_validated	leave_one_out_probability
HGS1	RAB6A	chr11	-	73096113	USP43	chr17	-	9537169	6	14	Y	Y	0.999932738
CCC16	RBKS	chr2	+	27934942	PPL	chr16	-	4926986	14	10	Y	Y	0.999924017
SARC3	RREB1	chr6	+	7156941	TFE3	chrX	+	48785039	28	103	Y	Y	0.99979181
CCC15	UBR4	chr1	-	19368559	JMJD2B	chr19	+	5033512	18	27	Y	Y	0.999505907
SARC1	ERBB3	chr12	+	54782494	CRADD	chr12	+	92673313	41	103	Y	Y	0.999228105
CCC9	RPN2	chr20	+	35246190	PMEPA1	chr20	+	55661548	11	48	Y	Y	0.997820986
HGS3	SH2D1A	chrX	-	123327292	FRYL	chr4	-	48476852	7	27	Y	Y	0.997724018
EMD6	CMKLR1	chr12	+	107211571	ROCK1	chr18	-	16944777	8	13	Y	Y	0.994490543
EMD6	BCAS3	chr17	+	56121904	ARHGAP15	chr2	-	144177458	4	10	Y	Y	0.984640459
HGS4	FLNB	chr3	+	58126800	VPS8	chr3	+	186198942	51	95	Y	Y	0.951695987
CCC16	HIP1R	chr12	-	121898531	PAPOLA	chr14	+	96038690	19	44	Y	Y	0.91784453
CCC15	TMEM63A	chr1	-	224099282	NRD1	chr1	-	52111347	7	17	Y	Y	0.814029373
CCC12	C1orf61	chr1	+	154641017	MTHFD1	chr14	+	63981205	11	27	Y	Y	0.779572647
CCC16	APOO	chrX	+	23802495	HPS5	chr11	-	18276915	11	23	Y	Y	0.746169173
CCC1	HGSNAT	chr8	-	43132875	TYW1	chr7	+	66158309	11	41	Y	N	0.999580552
CCC14	EPCAM	chr2	+	47455942	DLEC1	chr3	-	38076237	17	27	Y	N	0.993841225
CCC15	PVRL2	chr19	+	50041710	LMNA	chr1	-	154351085	7	17	Y	N	0.959159034
SARC1	HNF1A	chr12	-	119918796	CMKLR1	chr12	-	107216224	7	38	Y	NA	0.999747834
CCC15	ARSB	chr5	-	78286874	DMGDH	chr5	+	78376131	87	103	Y	NA	0.99963502
