cell.line	Edgren paper	location donor gene	location acceptor gene	truepositive	deFuse	FusionMap	FusionFinder	FusionHunter	TopHat Fusion v1	ChimeraScan	STAR.2.3.0e	STAR.2.3.1l	Rsubread
BT-474	Genome Biol. 2011;12(1):R6.	chr17:35441927-35766902	chr17:37366789-37382040	ACACA:STAC2	ACACA:STAC2	ACACA:STAC2	NA	ACACA:STAC2	ACACA:STAC2	ACACA:STAC2	STAC2/ACACA:STAC2/STAC2:ACACA	ACACA:STAC2/STAC2:ACACA	ACACA:STAC2
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr5:139781399-139852062	chr5:141242217-141257944	ANKHD1:PCDH1	NA	NA	ANKHD1:PCDH1	NA	NA	NA	NA	NA	NA
MCF-7	Genome Biol. 2011;12(1):R6.	chr20:47538275-47653230	chr20:46286150-46415360	ARFGEF2:SULF2	ARFGEF2:SULF2	ARFGEF2:SULF2	ARFGEF2:SULF2	NA	ARFGEF2:SULF2	ARFGEF2:SULF2	NA	ARFGEF2:SULF2/SULF2:ARFGEF2	SULF2:ARFGEF2
MCF-7	Genome Biol. 2011;12(1):R6.	chr20:49411467-49493714	chr17:58755172-59470199	BCAS4:BCAS3	BCAS4:BCAS3	NA	BCAS4:BCAS3	BCAS4:BCAS3	BCAS4:BCAS3	BCAS4:BCAS3	NA	BCAS4:BCAS3/BCAS3:BCAS4	NA
KPL-4	Genome Biol. 2011;12(1):R6.	chr19:571277-583493	chr19:13106584-13209610	BSG:NFIX	BSG:NFIX	NA	NA	NA	BSG:NFIX	BSG:NFIX	NA	BSG:NFIX/NFIX:BSG	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr14:99977603-100070727	chr14:99876141-99947226	CCDC85C:SETD3	NA	NA	CCDC85C:SETD3	NA	NA	NA	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr20:34213953-34252878	chr20:43803540-43805185	CPNE1:PI3	NA	NA	CPNE1:PI3	NA	CPNE1:PI3	CPNE1:PI3	NA	NA	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr20:47662783-47713497	NA	CSE1L:ENSG00000236127 (KCNB1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr17:76670130-76778376	chr8:117657055-117768062	CYTH1:EIF3H	CYTH1:EIF3H	NA	CYTH1:EIF3H	CYTH1:EIF3H	CYTH1:EIF3H	CYTH1:EIF3H	NA	NA	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr20:37590981-37668366	chr20:32951041-33099198	DHX35:ITCH	NA	NA	DHX35:ITCH	NA	NA	DHX35:ITCH	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr20:61536350-61569304	chr20:36611423-36661833	DIDO1:TTI1	NA	NA	NA	DIDO1:TTI1	NA	NA	NA	DIDO1:TTI1	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr3:33038100-33138694	chr3:32433163-32496333	GLB1:CMTM7	GLB1:CMTM7	NA	GLB1:CMTM7	GLB1:CMTM7	GLB1:CMTM7	GLB1:CMTM7	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr13:113951469-113977741	chr13:113623535-113754053	LAMP1:MCF2L	LAMP1:MCF2L	NA	LAMP1:MCF2L	NA	LAMP1:MCF2L	LAMP1:MCF2L	NA	MCF2L:LAMP1	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr20:34256610-34287287	chr20:47240793-47444420	NFS1:PREX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KPL-4	Genome Biol. 2011;12(1):R6.	chr9:139388896-139440238	chr9:134000981-134109091	NOTCH1:NUP214	NOTCH1:NUP214	NA	NOTCH1:NUP214	NA	NOTCH1:NUP214	NOTCH1:NUP214	NA	NA	NA
KPL-4	Genome Biol. 2011;12(1):R6.	chr12:80167343-80329235	chr2:110300374110371783	PPP1R12A:SEPT10	NA	NA	NA	NA	PPP1R12A:SEPT10	PPP1R12A:SEPT10	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr20:56884771-56942563	chr19:17186591-17324104	RAB22A:MYO9B	RAB22A:MYO9B	NA	NA	NA	RAB22A:MYO9B	RAB22A:MYO9B	NA	RAB22A:MYO9B/MYO9B:RAB22A	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr17:38465423-38513895	chr8:79428336-79517502	RARA:PKIA	RARA:PKIA	RARA:PKIA	RARA:PKIA	RARA:PKIA	RARA:PKIA	RARA:PKIA	NA	RARA:PKIA/PKIA:RARA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr17:57970443-58027786	chr17:47007459-47022154	RPS6KB1:SNF8	RPS6KB1:SNF8	NA	NA	RPS6KB1:SNF8	RPS6KB1:SNF8	RPS6KB1:SNF8	SNF8/RPS6KB1:SNF8/SNF8:RPS6KB1	RPS6KB1:SNF8/SNF8:RPS6KB1	SNF8:RPS6KB1
MCF-7	Genome Biol. 2011;12(1):R6.	chr17:57970443-58027786	chr17:57784863-57917952	RPS6KB1:VMP1	NA	NA	NA	NA	NA	NA	NA	RPS6KB1:VMP1/VMP1:RPS6KB1	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr17:57187308-57232800	chr17:34868917-34891305	SKA2:MYO19	SKA2:MYO19	NA	NA	NA	NA	NA	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr17:37793333-37820454	chr17:37793333-37820454	STARD3:STARD3	NA	NA	NA	NA	STARD3:STARD3	NA	NA	STARD3:STARD3/STARD3:STARD3	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr3:4402829-4508966	chr3:37094117-37217851	SUMF1:LRRFIP2	SUMF1:LRRFIP2	NA	NA	NA	SUMF1:LRRFIP2	SUMF1:LRRFIP2	NA	SUMF1:LRRFIP2/LRRFIP2:SUMF1	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr8:125500735-125551329	chr17:38060848-38074903	TATDN1:GSDMB	TATDN1:GSDMB	TATDN1:GSDMB	NA	TATDN1:GSDMB	TATDN1:GSDMB	TATDN1:GSDMB	NA	TATDN1:GSDMB/GSDMB:TATDN1	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr20:56964175-57026156	chr17:37913968-38020441	VAPB:IKZF3	VAPB:IKZF3	NA	VAPB:IKZF3	NA	VAPB:IKZF3	VAPB:IKZF3	NA	VAPB:IKZF3/IKZF3:VAPB	NA
SK-BR-3	Genome Biol. 2011;12(1):R6.	chr8:124084920-124164392	chr8:81540686-81787016	WDR67:ZNF704	NA	NA	WDR67:ZNF704	NA	WDR67:ZNF704	WDR67:ZNF704	NA	NA	NA
BT-474	Genome Biol. 2011;12(1):R6.	chr20:45838381-45985474	chr20:34043223-34099803	ZMYND8:CEP250	ZMYND8:CEP250	NA	NA	NA	ZMYND8:CEP250	ZMYND8:CEP250	NA	NA	NA
